elevation_deg,v_rel_kmps,modulation,n_nodes,PER_pct,RSSI_dBm,SNR_dB,distance_km,kappa,doppler_hz,visibility_window_s,toa_s,max_packets_in_window,n_mc_draws,source
5,2.0,SF8,150000,100.0,-128.7918,-11.7837,2740.65,1.24,5786.67,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,1000,44.0,-128.9792,-11.9711,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,10000,79.1,-128.8587,-11.8505,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,50000,99.6,-128.7989,-11.7907,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,100000,100.0,-128.8354,-11.8273,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF9,150000,100.0,-128.7398,-11.7317,2740.65,1.24,5786.67,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,1000,36.0,-128.9651,-11.957,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,10000,92.0,-128.837,-11.8289,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,50000,100.0,-128.786,-11.7779,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,100000,100.0,-129.1114,-12.1032,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF10,150000,100.0,-128.8922,-11.884,2740.65,1.24,5786.67,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,1000,43.2,-129.1319,-12.1238,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,10000,98.5,-128.8097,-11.8015,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,50000,100.0,-128.6817,-11.6736,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,100000,100.0,-128.8996,-11.8915,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF11,150000,100.0,-128.9795,-11.9714,2740.65,1.24,5786.67,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,2.0,SF12,1000,100.0,-128.9841,-11.976,2740.65,1.24,5786.67,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,2.0,SF12,10000,100.0,-128.9981,-11.99,2740.65,1.24,5786.67,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,2.0,SF12,50000,100.0,-128.9765,-11.9684,2740.65,1.24,5786.67,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,2.0,SF12,100000,100.0,-128.8774,-11.8693,2740.65,1.24,5786.67,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,2.0,SF12,150000,100.0,-128.5244,-11.5163,2740.65,1.24,5786.67,757.1,0.9912,7,1000,hybrid_simulator_v3_aggregated
5,2.0,DR8,1000,0.0001,-128.9822,12.1108,2740.65,1.24,5786.67,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,2.0,DR8,10000,0.1916,-128.6994,12.3936,2740.65,1.24,5786.67,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,2.0,DR8,50000,13.9463,-128.7858,12.3072,2740.65,1.24,5786.67,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,2.0,DR8,100000,53.4449,-128.8395,12.2535,2740.65,1.24,5786.67,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,2.0,DR8,150000,82.7255,-128.5246,12.5684,2740.65,1.24,5786.67,757.1,1.3144,5,1000,hybrid_simulator_v3_aggregated
5,2.0,DR9,1000,0.1024,-128.7143,12.3787,2740.65,1.24,5786.67,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,2.0,DR9,10000,1.1235,-128.5666,12.5264,2740.65,1.24,5786.67,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,2.0,DR9,50000,21.4406,-128.9125,12.1806,2740.65,1.24,5786.67,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,2.0,DR9,100000,53.5428,-129.0634,12.0297,2740.65,1.24,5786.67,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,2.0,DR9,150000,76.0754,-128.926,12.1671,2740.65,1.24,5786.67,757.1,0.7749,9,1000,hybrid_simulator_v3_aggregated
5,4.0,SF7,1000,83.7,-128.9295,-11.9214,2740.65,1.24,11573.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,4.0,SF7,10000,87.9,-128.8684,-11.8602,2740.65,1.24,11573.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,4.0,SF7,50000,96.9,-128.8942,-11.8861,2740.65,1.24,11573.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,4.0,SF7,100000,99.0,-128.9247,-11.9166,2740.65,1.24,11573.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,4.0,SF7,150000,99.8,-128.7099,-11.7017,2740.65,1.24,11573.33,757.1,0.0412,183,1000,hybrid_simulator_v3_aggregated
5,4.0,SF8,1000,100.0,-128.9035,-11.8954,2740.65,1.24,11573.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,4.0,SF8,10000,100.0,-129.0383,-12.0302,2740.65,1.24,11573.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,4.0,SF8,50000,100.0,-129.1574,-12.1492,2740.65,1.24,11573.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,4.0,SF8,100000,100.0,-128.6903,-11.6822,2740.65,1.24,11573.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,4.0,SF8,150000,100.0,-128.3182,-11.3101,2740.65,1.24,11573.33,757.1,0.0722,104,1000,hybrid_simulator_v3_aggregated
5,4.0,SF9,1000,100.0,-128.92,-11.9118,2740.65,1.24,11573.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,4.0,SF9,10000,100.0,-128.6855,-11.6774,2740.65,1.24,11573.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,4.0,SF9,50000,100.0,-128.7907,-11.7826,2740.65,1.24,11573.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,4.0,SF9,100000,100.0,-128.8686,-11.8605,2740.65,1.24,11573.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,4.0,SF9,150000,100.0,-128.5887,-11.5806,2740.65,1.24,11573.33,757.1,0.1444,52,1000,hybrid_simulator_v3_aggregated
5,4.0,SF10,1000,100.0,-128.8702,-11.8621,2740.65,1.24,11573.33,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,4.0,SF10,10000,100.0,-128.9167,-11.9086,2740.65,1.24,11573.33,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,4.0,SF10,50000,100.0,-129.0379,-12.0297,2740.65,1.24,11573.33,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,4.0,SF10,100000,100.0,-128.8309,-11.8227,2740.65,1.24,11573.33,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,4.0,SF10,150000,100.0,-128.9833,-11.9752,2740.65,1.24,11573.33,757.1,0.2888,26,1000,hybrid_simulator_v3_aggregated
5,4.0,SF11,1000,100.0,-128.9666,-11.9584,2740.65,1.24,11573.33,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,4.0,SF11,10000,100.0,-128.8646,-11.8565,2740.65,1.24,11573.33,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,4.0,SF11,50000,100.0,-128.6975,-11.6894,2740.65,1.24,11573.33,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
5,4.0,SF11,100000,100.0,-128.7766,-11.7685,2740.65,1.24,11573.33,757.1,0.5775,13,1000,hybrid_simulator_v3_aggregated
