elevation_deg,v_rel_kmps,n_nodes,modulation,PER_pct,distance_km,kappa,doppler_hz,doppler_rate_hz,visibility_window_s,RSSI_dBm,SNR_dB,toa_s,max_packets_in_window
5,5.0,50000,SF10,76.31027253668763,2043.7883470098616,1.24,20010.52289797038,8.536079834247458,422.0126076813598,-132.9757390060969,-15.944839136177457,0.288768,1461
5,5.0,50000,SF11,89.25438596491229,2043.7883470098616,1.24,20010.52289797038,8.536079834247458,422.0126076813598,-134.2010526470709,-17.170152777151483,0.577536,731
5,5.0,50000,SF12,93.812375249501,2043.7883470098616,1.24,20010.52289797038,8.536079834247458,422.0126076813598,-132.60219300663113,-15.57129313671168,0.991232,426
5,5.0,50000,SF7,98.4815618221258,2043.7883470098616,1.24,20010.52289797038,8.536079834247458,422.0126076813598,-133.08837206708856,-16.057472197169123,0.041216,10239
5,5.0,50000,SF8,89.8989898989899,2043.7883470098616,1.24,20010.52289797038,8.536079834247458,422.0126076813598,-133.30361181847016,-16.272711948550725,0.072192,5846
5,5.0,50000,SF9,81.78053830227742,2043.7883470098616,1.24,20010.52289797038,8.536079834247458,422.0126076813598,-133.58042609632363,-16.549526226404193,0.144384,2923
5,5.5,10000,DR8,0.0,2065.071842213416,1.24,20043.815064134647,7.965482103413549,422.0126076813598,-131.24272217681562,9.873079603157256,1.324766,319
5,5.5,10000,DR9,0.0,2065.071842213416,1.24,20043.815064134647,7.965482103413549,422.0126076813598,-130.2375786793521,10.878223100620788,0.779094,542
5,5.5,10000,SF10,60.97560975609756,2065.071842213416,1.24,20043.815064134647,7.965482103413549,422.0126076813598,-133.4223000257586,-16.391400155839168,0.288768,1461
5,5.5,10000,SF11,63.82978723404256,2065.071842213416,1.24,20043.815064134647,7.965482103413549,422.0126076813598,-134.60677598097217,-17.57587611105272,0.577536,731
5,5.5,10000,SF12,57.77777777777777,2065.071842213416,1.24,20043.815064134647,7.965482103413549,422.0126076813598,-134.5215103497027,-17.49061047978326,0.991232,426
5,5.5,10000,SF7,97.95918367346938,2065.071842213416,1.24,20043.815064134647,7.965482103413549,422.0126076813598,-130.44924263369873,-13.418342763779298,0.041216,10239
5,5.5,10000,SF8,85.1063829787234,2065.071842213416,1.24,20043.815064134647,7.965482103413549,422.0126076813598,-130.13481301804924,-13.10391314812979,0.072192,5846
5,5.5,10000,SF9,54.90196078431373,2065.071842213416,1.24,20043.815064134647,7.965482103413549,422.0126076813598,-131.8066185082483,-14.775718638328854,0.144384,2923
5,5.5,50000,DR8,3.149606299212604,2065.750871354452,1.24,20044.936542691263,7.9659931772337185,422.0126076813598,-133.60847065046033,7.507331129512556,1.324766,319
5,5.5,50000,DR9,2.2556390977443663,2065.750871354452,1.24,20044.936542691263,7.9659931772337185,422.0126076813598,-133.27795233516164,7.837849444811235,0.779094,542
5,5.5,50000,SF10,73.64341085271317,2065.750871354452,1.24,20044.936542691263,7.9659931772337185,422.0126076813598,-132.90114440644535,-15.8702445365259,0.288768,1461
5,5.5,50000,SF11,85.0,2065.750871354452,1.24,20044.936542691263,7.9659931772337185,422.0126076813598,-131.70218254208942,-14.671282672169982,0.577536,731
5,5.5,50000,SF12,95.0,2065.750871354452,1.24,20044.936542691263,7.9659931772337185,422.0126076813598,-134.0858780978765,-17.05497822795708,0.991232,426
5,5.5,50000,SF7,98.47908745247148,2065.750871354452,1.24,20044.936542691263,7.9659931772337185,422.0126076813598,-132.41586166582906,-15.38496179590963,0.041216,10239
5,5.5,50000,SF8,92.52669039145908,2065.750871354452,1.24,20044.936542691263,7.9659931772337185,422.0126076813598,-133.05705732402984,-16.0261574541104,0.072192,5846
5,5.5,50000,SF9,82.64462809917356,2065.750871354452,1.24,20044.936542691263,7.9659931772337185,422.0126076813598,-133.1160717329702,-16.085171863050764,0.144384,2923
5,5.5,100000,DR8,1.7274472168905983,2065.257203713056,1.24,20044.188302310355,7.974380817938977,422.0126076813598,-133.84995534290638,7.265846437066495,1.324766,319
5,5.5,100000,DR9,7.047619047619048,2065.257203713056,1.24,20044.188302310355,7.974380817938977,422.0126076813598,-133.95226857980435,7.163533200168525,0.779094,542
5,5.5,100000,SF10,90.85714285714286,2065.257203713056,1.24,20044.188302310355,7.974380817938977,422.0126076813598,-132.75503811190657,-15.724138241987133,0.288768,1461
5,5.5,100000,SF11,98.45261121856866,2065.257203713056,1.24,20044.188302310355,7.974380817938977,422.0126076813598,-133.2189121601925,-16.188012290273054,0.577536,731
